## [BeGaze]
## Converted from:	C:\dat\projects\gazeMapper\example_recordings\1_screen\begaze expt\dee-[ca73753a-291a-476c-9a91-bc41248a0c36]\dee-2-recording.idf
## Date:	04.11.2024 13:52:04
## Version:	BeGaze 3.7.59
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3269
## Reversed:	none
## [Run]
## Subject:	dee
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L Pupil Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
2075294617	SMP	1	83.0000	53.0000	3.8200	78.0000	46.0000	3.5600	599.7500	221.3500	599.7500	221.3500	599.7500	221.3500	30.2750	-2.1320	-26.6150	-28.5820	-0.9090	-27.6110	-0.0002	0.0642	0.9979	0.0735	0.0487	0.9961	00:00:00:02	
2075311253	SMP	1	83.0000	57.0000	3.8200	78.0000	54.0000	4.0000	595.5900	207.7800	595.5900	207.7800	595.5900	207.7800	30.2750	-2.1320	-26.6150	-28.5820	-0.9090	-27.6110	0.0086	0.0674	0.9977	0.0713	0.0673	0.9952	00:00:00:02	
2075327909	SMP	1	83.0000	58.0000	3.7800	80.0000	54.0000	3.8600	597.1200	222.9300	597.1200	222.9300	597.1200	222.9300	30.2750	-2.1320	-26.6150	-28.5830	-0.9090	-27.6100	0.0103	0.0564	0.9984	0.0673	0.0540	0.9963	00:00:00:03	
2075344633	SMP	1	82.0000	59.0000	3.8000	78.0000	56.0000	3.7400	602.1300	241.3900	602.1300	241.3900	602.1300	241.3900	30.2750	-2.1320	-26.6150	-28.5820	-0.9090	-27.6100	0.0103	0.0428	0.9990	0.0593	0.0377	0.9975	00:00:00:03	
2075361164	SMP	1	84.0000	60.0000	3.8200	80.0000	56.0000	3.8400	604.8900	257.2400	604.8900	257.2400	604.8900	257.2400	30.2750	-2.1320	-26.6150	-28.5820	-0.9090	-27.6100	0.0102	0.0319	0.9994	0.0549	0.0228	0.9982	00:00:00:03	
2075377737	SMP	1	83.0000	60.0000	3.8000	78.0000	56.0000	3.7600	605.5000	267.2700	605.5000	267.2700	605.5000	267.2700	30.2750	-2.1320	-26.6150	-28.5820	-0.9090	-27.6100	0.0102	0.0233	0.9997	0.0540	0.0149	0.9984	00:00:00:04	
2075394528	SMP	1	83.0000	61.0000	3.8200	78.0000	58.0000	3.7800	607.0600	276.8100	607.0600	276.8100	607.0600	276.8100	30.2750	-2.1320	-26.6150	-28.5820	-0.9090	-27.6100	0.0101	0.0153	0.9998	0.0516	0.0073	0.9986	00:00:00:04	
2075411263	SMP	1	83.0000	62.0000	3.8200	78.0000	58.0000	3.7400	609.2300	284.5900	609.2300	284.5900	609.2300	284.5900	30.2750	-2.1320	-26.6150	-28.5830	-0.9090	-27.6100	0.0079	0.0092	0.9999	0.0502	0.0006	0.9987	00:00:00:05	
2075427774	SMP	1	84.0000	62.0000	3.8200	80.0000	58.0000	3.8000	609.7900	292.2900	609.7900	292.2900	609.7900	292.2900	30.2750	-2.1320	-26.6150	-28.5830	-0.9100	-27.6100	0.0083	0.0027	1.0000	0.0489	-0.0056	0.9988	00:00:00:05	
2075444434	SMP	1	83.0000	63.0000	3.8000	78.0000	60.0000	3.7200	611.4500	298.2400	611.4500	298.2400	611.4500	298.2400	30.2750	-2.1330	-26.6140	-28.5830	-0.9100	-27.6100	0.0075	-0.0011	1.0000	0.0470	-0.0118	0.9988	00:00:00:06	
