section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1,1731061675524880370,1731061675614030336,89,481.709,628.245,-3.5073571711548635,-7.155343354005706
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,2,1731061675656887370,1731061675874001408,217,485.925,696.293,-3.2211876085897644,-12.294022816851719
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,3,1731061675904927370,1731061676512118272,607,529.141,725.468,0.0930108330732994,-14.50226855204436
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,4,1731061676542784370,1731061677331691264,789,522.815,707.474,-0.3929306741237773,-13.143728130029185
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,5,1731061677798638370,1731061677871739392,73,503.801,565.542,-1.8208212946513218,-2.4197873185554
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,6,1731061678038719370,1731061678127677184,89,498.97,569.988,-2.186414822947122,-2.755655633346336
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,7,1731061678283312370,1731061678568276224,285,489.276,562.931,-2.918615077914433,-2.2218188067567555
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,8,1731061678783286370,1731061678890645248,107,687.531,481.87,12.068340228542764,3.8763361970760006
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,9,1731061679133155370,1731061679386182400,253,461.016,512.177,-5.054219976645402,1.613040651832023
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,10,1731061679525277370,1731061679814080256,289,499.088,487.101,-2.1788394075275312,3.510288777594519
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,11,1731061679929152370,1731061680074081280,145,518.723,560.098,-0.6926601875354444,-2.008537601046256
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,12,1731061680109084370,1731061680242149376,133,519.795,640.136,-0.6163390595176198,-8.057646912778445
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,13,1731061680273098370,1731061680430091264,157,552.461,681.974,1.8772873785060016,-11.215265001464525
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,14,1731061680573198370,1731061680790241280,217,537.141,621.11,0.7012656460880403,-6.61974824046565
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,15,1731061680921050370,1731061681262073344,341,488.09,472.409,-3.0138160351249934,4.620156052945038
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,16,1731061681493052370,1731061681738067200,245,630.06,501.736,7.719153944251687,2.396544516140492
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,17,1731061681765160370,1731061681930227200,165,499.775,509.012,-2.1247489597572,1.853793934961386
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,18,1731061682029065370,1731061682238052352,209,473.008,535.292,-4.146480201534355,-0.13283319722814035
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,19,1731061682285082370,1731061682526096384,241,545.415,477.779,1.3260914525121528,4.2152223900359544
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,20,1731061682681098370,1731061683074071296,393,469.171,519.113,-4.437051826156594,1.0894637722395006
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,21,1731061683093077370,1731061683282302208,189,466.263,494.816,-4.660526989503483,2.924743445212261
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,22,1731061683401168370,1731061685034057216,1633,460.401,497.487,-5.103293180165923,2.722438290131908
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,23,1731061685061087370,1731061685314140416,253,465.031,506.283,-4.7515478039212455,2.0584395746536606
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,24,1731061685341095370,1731061685510084352,169,470.259,474.868,-4.363380509687554,4.432235961692054
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,25,1731061685545058370,1731061686190035200,645,407.165,481.349,-9.137491093207803,3.930434534016997
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,26,1731061686225089370,1731061686526059264,301,487.634,465.483,-3.0500367240662407,5.143603437094147
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,27,1731061686561074370,1731061686678377216,117,490.281,526.865,-2.8413675601181336,0.5039742936698075
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,28,1731061686821059370,1731061687610067200,789,522.58,528.021,-0.40097046139030107,0.4167157406381736
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,29,1731061687649088370,1731061688430072320,781,496.713,490.928,-2.3579929809193017,3.2208500431619265
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,30,1731061688601086370,1731061689382115328,781,540.164,540.997,0.9273778009372571,-0.5643401884011757
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,31,1731061689413107370,1731061690094068224,681,554.995,503.255,2.0485703338349954,2.2887214356193706
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,32,1731061690121210370,1731061690198062336,77,565.862,551.573,2.8686622669016164,-1.363199197006834
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,33,1731061690225075370,1731061690814588416,590,565.541,506.071,2.845254807794225,2.075438787249991
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,34,1731061690841190370,1731061691186065408,345,553.637,474.129,1.9486526028103064,4.490591240038571
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,35,1731061691205167370,1731061692102104320,897,540.467,510.801,0.9504579611147382,1.7186148623387252
