section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675524880370,478.586,621.896,1.0,1,,-3.7419498423970623,-6.675308358464608
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675528863370,476.927,620.361,1.0,1,,-3.8672270727207017,-6.5590689196971335
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675536941370,482.103,629.217,1.0,1,,-3.47780842474422,-7.228840882242207
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675540965370,480.662,631.594,1.0,1,,-3.588277961062508,-7.40802729838877
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675545076370,476.042,630.531,1.0,1,,-3.938791931039866,-7.326860164853216
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675549160370,480.45,626.31,1.0,1,,-3.602237545657178,-7.008953655364848
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675556892370,482.73,627.367,1.0,1,,-3.4294962374720646,-7.089222790081774
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675560902370,484.341,626.242,1.0,1,,-3.306779852888215,-7.004539097216204
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675564947370,484.74,625.607,1.0,1,,-3.2761995737999343,-6.95666445234186
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675568923370,484.258,628.572,1.0,1,,-3.313897643100752,-7.180520909670349
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675577097370,477.468,629.235,1.0,1,,-3.829841741666929,-7.229239461597363
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675580873370,479.183,624.927,1.0,1,,-3.697884172889015,-6.904299471358374
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675585022370,480.873,628.578,1.0,1,,-3.570983727731789,-7.180298503316424
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675589597370,480.087,624.319,1.0,1,,-3.6289781161225174,-6.8585652826365
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675596895370,485.316,631.241,1.0,1,,-3.234522548446422,-7.382288486360295
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675600948370,485.632,633.697,1.0,1,,-3.2114958663309334,-7.567800245282802
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675605059370,483.976,632.706,1.0,1,,-3.336923871487076,-7.492627432706091
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675609030370,487.4,635.962,1.0,1,,-3.077985817455868,-7.7391439541014675
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675616913370,484.793,638.5,1.0,,,-3.277202246088197,-7.93036541685923
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675620983370,484.617,641.694,1.0,,,-3.291894898017408,-8.171547593553115
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675624992370,476.842,646.89,1.0,,,-3.8859433617623464,-8.562121270880837
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675628928370,474.841,664.767,1.0,,,-4.04875935614894,-9.911131234090034
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675636899370,474.348,676.268,1.0,,,-4.094112543811176,-10.779016257721484
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675640979370,473.726,686.299,1.0,,,-4.1490795059687136,-11.535854333032026
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675646119370,475.201,690.671,1.0,,,-4.0394243257313835,-11.86628166591505
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061675648944370,478.706,692.044,1.0,,,-3.7718103164625334,-11.971088748630674
